Date,Open,High,Low,Close,Volume
11/06/2025,"635.85","636.00","618.00","618.94","23,628,750"
11/05/2025,"632.31","642.23","626.54","635.95","20,219,859"
11/04/2025,"628.04","641.74","626.01","627.32","27,356,551"
11/03/2025,"656.00","659.33","636.18","637.71","33,003,602"
10/31/2025,"674.51","674.89","645.57","648.35","56,953,168"
10/30/2025,"669.15","680.96","650.17","666.47","88,440,086"
10/29/2025,"754.75","759.16","742.51","751.67","26,818,590"
10/28/2025,"752.63","758.40","745.52","751.44","12,193,820"
10/27/2025,"749.73","755.75","748.01","750.82","11,321,080"
10/24/2025,"736.79","741.21","731.15","738.36","9,151,267"
10/23/2025,"734.70","742.41","733.10","734.00","9,855,974"
10/22/2025,"733.83","740.60","724.03","733.41","8,734,491"
10/21/2025,"736.02","738.50","728.75","733.27","7,647,269"
10/20/2025,"721.19","733.77","720.18","732.17","8,900,204"
10/17/2025,"707.08","718.54","706.12","716.92","12,232,440"
10/16/2025,"717.55","725.49","703.88","712.07","9,017,010"
10/15/2025,"717.06","723.90","709.51","717.55","10,246,770"
10/14/2025,"707.78","715.55","699.33","708.65","8,829,757"
10/13/2025,"713.01","719.94","707.64","715.70","9,251,796"
10/10/2025,"730.92","735.27","704.51","705.30","16,980,090"
10/09/2025,"718.28","733.51","712.44","733.51","12,717,170"
10/08/2025,"713.45","719.65","707.81","717.84","10,790,570"
10/07/2025,"717.72","718.50","705.75","713.08","12,062,930"
10/06/2025,"705.19","716.88","690.51","715.66","21,654,740"
10/03/2025,"729.63","731.00","710.18","710.56","16,154,310"
10/02/2025,"722.58","727.77","718.14","727.05","11,415,270"
10/01/2025,"721.49","721.85","710.20","717.34","20,419,631"
09/30/2025,"742.25","742.97","726.30","734.38","16,226,750"
09/29/2025,"748.72","750.78","739.15","743.40","9,246,768"
09/26/2025,"750.00","751.93","737.35","743.75","9,696,338"
09/25/2025,"753.45","756.77","744.55","748.91","10,591,070"
09/24/2025,"757.50","761.11","752.53","760.66","8,828,227"
09/23/2025,"769.25","770.60","751.07","755.40","10,872,590"
09/22/2025,"781.85","785.73","764.47","765.16","11,706,950"
09/19/2025,"786.42","790.80","769.19","778.38","23,696,820"
09/18/2025,"780.75","788.78","773.36","780.25","10,954,950"
09/17/2025,"779.99","783.29","766.31","775.72","9,400,867"
09/16/2025,"767.00","781.36","765.10","779.00","11,782,480"
09/15/2025,"757.47","774.07","751.99","764.70","10,533,780"
09/12/2025,"748.73","757.57","743.76","755.59","8,248,557"
09/11/2025,"754.65","757.10","748.37","750.90","7,923,284"
09/10/2025,"765.13","765.70","751.00","751.98","12,478,280"
09/09/2025,"757.49","766.30","753.43","765.70","10,999,030"
09/08/2025,"756.00","766.51","752.02","752.30","13,087,820"
09/05/2025,"752.62","757.95","745.03","752.45","9,663,441"
09/04/2025,"748.57","761.16","745.82","748.65","11,439,080"
09/03/2025,"736.00","740.25","733.99","737.05","7,699,332"
09/02/2025,"726.04","736.00","721.73","735.11","9,350,857"
08/29/2025,"745.28","747.14","735.35","738.70","9,070,546"
08/28/2025,"744.00","753.05","740.80","751.11","7,467,955"
08/27/2025,"752.30","754.15","742.84","747.38","8,315,435"
08/26/2025,"750.80","754.87","747.94","754.10","7,601,800"
08/25/2025,"754.82","758.88","750.13","753.30","6,861,158"
08/22/2025,"739.23","756.90","734.39","754.79","10,612,670"
08/21/2025,"744.71","745.50","733.11","739.10","8,876,307"
08/20/2025,"747.57","750.20","731.00","747.72","11,898,190"
08/19/2025,"767.12","767.17","749.36","751.48","12,286,690"
08/18/2025,"775.09","775.81","756.56","767.37","16,513,740"
08/15/2025,"784.15","796.25","780.82","785.23","13,375,360"
08/14/2025,"777.88","787.81","772.51","782.13","8,116,193"
08/13/2025,"791.15","795.46","778.23","780.08","8,811,750"
08/12/2025,"773.00","793.67","772.43","790.00","14,579,770"
08/11/2025,"770.08","773.46","764.67","765.87","7,611,964"
08/08/2025,"762.75","769.90","758.58","769.30","7,320,755"
08/07/2025,"773.49","775.00","759.55","761.83","9,019,691"
08/06/2025,"770.00","773.64","760.46","771.99","9,733,910"
08/05/2025,"776.45","783.13","763.00","763.46","11,640,290"
08/04/2025,"760.00","776.85","758.41","776.37","15,801,730"
08/01/2025,"760.73","766.00","745.31","750.01","19,028,711"
07/31/2025,"775.20","784.75","765.51","773.44","38,831,102"
07/30/2025,"708.09","708.50","691.20","695.21","27,077,289"
07/29/2025,"720.00","724.47","699.91","700.00","13,267,030"
07/28/2025,"715.20","724.74","712.68","717.63","8,715,743"
07/25/2025,"716.92","720.65","711.90","712.68","8,271,698"
07/24/2025,"717.05","723.62","714.00","714.80","10,920,840"
07/23/2025,"706.37","714.63","704.93","713.58","8,771,615"
07/22/2025,"716.19","716.60","701.41","704.81","8,921,064"
07/21/2025,"706.80","717.00","705.76","712.97","9,404,391"
07/18/2025,"702.19","704.71","691.65","704.28","12,779,750"
07/17/2025,"704.39","705.90","697.11","701.41","11,803,260"
07/16/2025,"713.37","713.97","699.27","702.91","13,067,630"
07/15/2025,"723.90","724.47","709.82","710.39","11,529,510"
07/14/2025,"717.60","728.00","716.55","720.92","8,939,399"
07/11/2025,"722.50","725.16","709.70","717.51","10,873,880"
07/10/2025,"731.55","735.80","719.60","727.24","9,922,249"
07/09/2025,"722.72","737.53","722.72","732.78","11,417,960"
07/08/2025,"721.57","722.91","714.81","720.67","7,770,693"
07/07/2025,"717.60","727.00","713.51","718.35","9,457,080"
07/03/2025,"726.61","729.03","714.42","719.01","8,601,653"
07/02/2025,"715.33","720.30","712.80","713.57","9,336,740"
07/01/2025,"736.88","737.75","715.37","719.22","13,431,250"
06/30/2025,"744.55","747.90","734.25","738.09","15,402,110"
06/27/2025,"726.52","735.43","725.86","733.63","18,775,740"
06/26/2025,"714.36","728.22","711.05","726.09","13,964,790"
06/25/2025,"713.32","716.58","705.38","708.68","9,320,436"
06/24/2025,"704.89","713.19","702.11","712.20","13,823,180"
06/23/2025,"683.69","699.05","678.75","698.53","11,080,060"
06/20/2025,"700.75","701.82","678.67","682.35","22,538,641"
06/18/2025,"698.18","701.59","694.90","695.77","10,068,260"
06/17/2025,"702.00","705.97","696.06","697.23","10,066,110"
06/16/2025,"699.33","707.15","693.51","702.12","13,720,290"
06/13/2025,"687.95","694.57","681.01","682.87","9,274,441"
06/12/2025,"693.30","695.38","687.00","693.36","7,322,730"
06/11/2025,"703.71","708.87","691.99","694.14","9,582,508"
06/10/2025,"701.35","703.23","691.56","702.40","10,850,150"
06/09/2025,"698.46","705.19","693.94","694.06","12,773,220"
06/06/2025,"696.17","702.81","691.87","697.71","11,727,960"
06/05/2025,"691.66","694.38","682.25","684.62","13,120,340"
06/04/2025,"669.32","689.00","668.57","687.95","14,031,930"
06/03/2025,"671.45","675.58","665.03","666.85","11,585,030"
06/02/2025,"644.39","673.26","644.26","670.90","15,766,260"
05/30/2025,"642.50","649.41","632.78","647.49","16,240,950"
05/29/2025,"651.65","653.32","639.50","645.05","8,883,436"
05/28/2025,"642.60","650.88","642.55","643.58","9,042,874"
05/27/2025,"635.41","643.08","632.75","642.32","9,508,367"
05/23/2025,"624.00","632.45","622.65","627.06","8,454,067"
05/22/2025,"634.05","643.25","630.71","636.57","8,228,443"
05/21/2025,"631.79","646.61","630.17","635.50","11,464,570"
05/20/2025,"636.01","639.35","632.26","637.10","6,743,473"
05/19/2025,"628.25","643.00","627.80","640.43","9,592,374"
05/16/2025,"637.96","640.44","626.15","640.34","18,518,971"
05/15/2025,"654.28","657.31","638.58","643.88","14,341,840"
05/14/2025,"661.21","662.67","654.31","659.36","12,348,180"
05/13/2025,"645.55","660.92","642.83","656.03","18,570,820"
