Date,Open,High,Low,Close,Volume
11/06/2025,"461.96","467.45","435.09","445.91","109,622,898"
11/05/2025,"452.05","466.33","440.71","462.07","85,573,023"
11/04/2025,"454.46","460.22","443.60","444.26","87,756,641"
11/03/2025,"455.99","474.07","453.80","468.37","84,595,242"
10/31/2025,"446.75","458.00","443.69","456.56","83,135,789"
10/30/2025,"451.05","455.06","439.61","440.10","72,447,938"
10/29/2025,"462.50","465.70","452.65","461.51","67,983,539"
10/28/2025,"454.78","467.00","451.60","460.55","80,185,672"
10/27/2025,"439.98","460.16","438.69","452.42","105,867,508"
10/24/2025,"446.83","451.68","430.17","433.72","94,727,766"
10/23/2025,"420.00","449.40","413.90","448.98","126,709,797"
10/22/2025,"443.45","445.54","429.00","438.97","84,023,453"
10/21/2025,"445.76","449.30","442.05","442.60","54,412,168"
10/20/2025,"443.87","449.80","440.61","447.43","63,718,969"
10/17/2025,"425.50","441.46","423.60","439.31","89,331,586"
10/16/2025,"434.73","439.35","421.31","428.75","77,189,891"
10/15/2025,"434.90","440.51","426.33","435.15","71,558,195"
10/14/2025,"426.79","434.20","417.86","429.24","72,669,438"
10/13/2025,"423.53","436.89","419.70","435.90","79,552,789"
10/10/2025,"436.54","443.13","411.45","413.49","112,107,906"
10/09/2025,"431.81","436.35","426.18","435.54","69,339,930"
10/08/2025,"437.57","441.33","425.23","438.69","71,192,125"
10/07/2025,"447.82","452.68","432.45","433.09","102,296,094"
10/06/2025,"440.75","453.55","436.69","453.25","85,324,883"
10/03/2025,"443.29","446.77","416.58","429.83","133,188,203"
10/02/2025,"470.54","470.75","435.57","436.00","137,008,984"
10/01/2025,"443.80","462.29","440.75","459.46","98,122,289"
09/30/2025,"441.52","445.00","433.12","444.72","74,357,961"
09/29/2025,"444.35","450.98","439.50","443.21","79,491,516"
09/26/2025,"428.30","440.47","421.02","440.40","101,628,203"
09/25/2025,"435.24","435.35","419.08","423.39","96,746,430"
09/24/2025,"429.83","444.21","429.03","442.79","93,133,570"
09/23/2025,"439.88","440.97","423.72","425.85","83,422,688"
09/22/2025,"431.11","444.98","429.13","434.21","97,108,781"
09/19/2025,"421.82","429.47","421.72","426.07","93,131,031"
09/18/2025,"428.87","432.22","416.56","416.85","90,454,516"
09/17/2025,"415.75","428.31","409.67","425.86","106,133,508"
09/16/2025,"414.50","423.25","411.43","421.62","104,285,695"
09/15/2025,"423.13","425.70","402.43","410.04","163,823,703"
09/12/2025,"370.94","396.69","370.24","395.94","168,156,406"
09/11/2025,"350.17","368.99","347.60","368.81","103,756,000"
09/10/2025,"350.55","356.33","346.07","347.79","72,121,680"
09/09/2025,"348.44","350.77","343.82","346.97","53,815,992"
09/08/2025,"354.64","358.44","344.84","346.40","75,208,289"
09/05/2025,"348.00","355.87","344.68","350.84","108,989,797"
09/04/2025,"336.15","338.89","331.48","338.53","60,711,031"
09/03/2025,"335.20","343.33","328.51","334.09","88,733,289"
09/02/2025,"328.23","333.33","325.60","329.36","58,391,953"
