Index,Name,Description,Brand,Category,Price,Currency,Stock,EAN,Color,Size,Availability,Internal ID
1001,Phone,Election best none teach fine baby work.,May Ltd,Men's Clothing,395,USD,79,4695049124204,MistyRose,30x40 cm,out_of_stock,29
1002,Fast Toaster Touch Go Mini,Strategy can finally rich exactly less.,"Delacruz, Lyons and Lindsey",Smartphones,664,USD,248,7949918522576,LightGray,30x40 cm,discontinued,14
1003,Eco Fan Clock Camera Premium 360 Air,Simple yet bring page start someone.,Lin PLC,Office Supplies,314,USD,726,4158084748878,Lime,Medium,backorder,17
1004,Mouse,Over feeling environment computer.,Russell-Morrow,Cleaning Supplies,844,USD,406,9659244347481,Fuchsia,L,in_stock,65
1005,Portable Router Freezer Webcam Smart Sense Premium,Late type laugh walk.,Gibbs-Cuevas,Office Supplies,757,USD,347,1261202006088,SandyBrown,M,discontinued,22
1006,Rechargeable Dock Speaker Phone Clean,Fight rule friend computer possible company message.,Fitzgerald Ltd,Bedding & Bath,632,USD,453,7174840100886,Plum,S,out_of_stock,84
1007,Smart Heater,Perhaps rock unit seat.,"Ryan, Cantu and Sampson",Smartwatches,209,USD,35,7023949721860,Green,10x10 cm,limited_stock,79
1008,Tablet,Research the evening enjoy.,Khan-Stone,Kids' Clothing,924,USD,581,4349794230313,LimeGreen,30x40 cm,backorder,2
1009,Clean Kettle Prime Air Edge,Anyone fly game simple rest receive personal.,"Marsh, Pearson and Davenport",Kitchen Appliances,366,USD,585,6247388625737,Yellow,12x18 in,pre_order,8
1010,Rechargeable Treadmill,Step amount street race field security dream conference.,"Kelly, Galloway and Villanueva",Automotive,433,USD,176,8945635546238,OrangeRed,Medium,pre_order,98
1011,Rechargeable Router,Left director identify employee bag tree.,Mason-Blair,Makeup,439,USD,515,5275662474789,DarkCyan,15x20 cm,pre_order,17
1012,Silent Mouse Treadmill Phone,Which again go.,Mclean PLC,Men's Clothing,589,USD,690,1559420523303,MistyRose,XXL,limited_stock,87
1013,Ultra Charger Smart Premium,Can other everyone little.,Burch Group,Furniture,742,USD,176,2209483737306,Gold,12x18 in,out_of_stock,14
1014,Smart Mixer Drone Fan Ultra,System also Democrat which understand around even others.,"Medina, Cohen and Mckay",Shoes & Footwear,610,USD,482,6903654130120,Ivory,12x18 in,discontinued,93
1015,Silent Light,More law various because.,Bishop and Sons,Women's Clothing,628,USD,17,8753184361819,LightSkyBlue,Medium,out_of_stock,27
1016,Pro Iron Monitor Clean X Pro,Myself Mr letter though mind bank skin.,Macias-Taylor,Furniture,338,USD,890,1103245043784,MediumSlateBlue,Extra Large,discontinued,21
1017,Eco Lamp Lamp Clean,Wear attention parent before threat eat.,Mercer Inc,"Accessories (Bags, Hats, Belts)",879,USD,547,6646223732515,ForestGreen,5x7 in,limited_stock,21
1018,Lock Blender,Town call contain administration.,Wall-Gibbs,Fragrances,804,USD,814,5211072708847,DarkMagenta,100x200 mm,limited_stock,39
1019,Portable Headphones Monitor 360 Pro Air,Process risk send.,"Andrews, Hooper and Ball",Men's Clothing,762,USD,556,7293973332565,OldLace,Large,backorder,82
1020,Portable Router Lamp Smart Clean,Particularly night official prevent probably girl current.,Hogan Ltd,Shoes & Footwear,46,USD,16,7405932357582,Khaki,Large,in_stock,53
1021,Powerbank Scooter,View over television stop.,Stafford-Mckay,Skincare,485,USD,417,1894264910118,Lime,50x70 cm,backorder,17
1022,Portable Scale Trimmer Grill Prime 360,Loss life claim government.,Woodward Ltd,Shoes & Footwear,968,USD,336,9923233789430,YellowGreen,Extra Large,discontinued,76
1023,Premium Camera Portable,Expect your again.,Curtis Inc,Toys & Games,819,USD,867,5969495190847,Tan,30x40 cm,limited_stock,91
1024,Ultra Scale Headphones Fast Prime Fast,Fear quite beautiful several.,"Barber, Reed and Craig",Toys & Games,708,USD,676,6387821819467,Tan,XS,discontinued,55
